Title,Release Date,Description,Release Year
Guilty Gear X2,2002-05-23,"The third installment of the Guilty Gear fighting game series, revising the gameplay from Guilty Gear X while adding new characters, the ""Psych Burst"" mechanic, and the Dust button.",2002
Guilty Gear XX Λ Core,2006-12-20,The third revision of Guilty Gear XX adds new gameplay mechanics and special moves while re-designing the game's aesthetics.,2006
Guilty Gear Isuka,2003-12-17,"A spin-off version of Guilty Gear XX, featuring a chaotic system where four players can fight at the same time.",2003
Petz: Catz 2,2007-11-14,The second game in the Petz series to be themed around cats.,2007
Espgaluda,2003-10-15,Espgaluda is a vertical bullet hell shoot' em up developed by Cave.,2003
Mushihime-Sama,2005-07-21,Mushihime-sama is a bullet hell shoot 'em up developed by Cave.,2005
Charlie's Angels,2003-07-09,"A widely-panned game themed on the film series of the same name, which sees the Angels hunting down missing national monuments.",2003
"I""s Pure",2006-11-09,"A PS2 visual novel based on the I""S Pure OVA anime.",2006
Ikki Tousen: Shining Dragon,2007-07-26,A video game based on the manga and anime series.,2007
Covert Command,2006-08-03,"Covert Command (released as ""Simple 2000 Series Vol. 102: The Fuhyou: Senjou no Inu Tachi"" in Japan) is a action game made by Tamsoft and published by D3 for the Playstation 2 in 2006.",2006
Metal Gear,1987-07-07,"Known as the first stealth-action game, Metal Gear tells the tale of Solid Snake, a rookie operative of the U.S. special forces unit FOXHOUND, as he infiltrates Outer Heaven, a fortified military compound, to destroy a mysterious superweapon known as ""Metal Gear"".",1987
SEGA AGES 2500 Vol.7: Columns,2003-12-18,"The seventh installment of Sega's Japanese-exclusive PS2 series of classic game remakes, featuring an enhanced version of the 1990 game Columns (as well as a remake of Columns '97 and a bonus versus mode).",2003
Taiko Drum Master,2004-10-26,"In Taiko Drum Master, play familiar songs to the beat of the titular Japanese instrument. Additional minigames are included which take advantage of the bundled drum peripheral.",2004
Yoake no Mariko 2nd Act,2002-01-24,Sequel to Yoake no Mariko on PlayStation 2.,2002
Monster Hunter 2,2006-02-16,"Monster Hunter 2 (dos) is a Japanese-only entry in the Monster Hunter franchise, serving as the first second-generation title. It expands on everything from Monster Hunter Freedom and introduces new monsters, a season system, and locations.",2006
Arc the Lad: End of Darkness,2004-11-03,"Arc the Lad: End of Darkness is drastically different from other Arc the Lad games, featuring a real-time battle system, card based power-ups, and boasting a cast of 24 playable characters.",2004
R-Type Final,2003-07-17,"Originally planned as the last game in the R-Type series of shoot-'em-ups, Final has a lone ship investigating a crashed space colony to research a failed counter-attack against the Bydo Empire. It features 101 different ships to choose from, each with a unique combination of weaponry.",2003
Conan,2004-04-08,A third-person hack and slash game featuring Conan the Barbarian only released in Europe.,2004
Midnight Club II,2003-04-09,"Going from being a no-name racer to a international street-racing legend, Midnight Club II is an open-world, checkpoint-based street racing game where you drive a wide variety of cars and bikes through the streets of Los Angeles, Paris and Tokyo.",2003
WRC: Rally Evolved,2005-10-28,The fifth and final game in this PS2 racing series. Released in 2005.,2005
Rune,2000-10-29,"Rune is a third-person action-adventure game focused on melee fighting, developed by Human Head Studios and was released in late 2000.",2000
Rurouni Kenshin: Enjou! Kyoto Rinne,2007-06-28,Ruroni Kenshin: Enjou! Kyoto Rinne is a 3D action game based off the Ruroni Kenshin series which was released exclusively for the PlayStation 2 system,2007
TimeSplitters 2,2002-10-09,"The sequel to the PS2 launch title TimeSplitters, TimeSplitters 2 follows two futuristic soldiers on a frantic rush through time and space to retrieve the the Time Crystals from the evil TimeSplitters.",2002
TimeSplitters: Future Perfect,2005-03-21,"The third and final installment of the TimeSplitters trilogy, putting players back into the role of a futuristic soldier attempting to end humanity's war with the time-travelling ""TimeSplitters"".",2005
The Legend of Alon D'ar,2001-12-04,Play as a young hero named Jarik in this fantasy role-playing game from Stormfront Studios.,2001
Hot Shots Golf 2,1999-07-29,The game that put Hot Shots on the map.  Hot Shots Golf 2 is the sequel to Hot Shot Golf and made the series a staple with it's zany characters.,1999
Pro Race Driver,2002-08-23,"Pro Race Driver is a racing video game that puts the player in the shoes of Ryan McKane, a race driver trying to make a name for himself in numerous car championships.",2002
Drakengard,2003-09-11,"A warrior for the Union named Caim and the dragon Angelus form a pact, bonding their lives together so that they may fight their mutual enemy the Empire.",2003
Haunted Castle,1987-12-26,"A horror-themed side-scrolling platformer for arcades, based on Konami's earlier platformer Castlevania. Control whip-bearer Simon Belmont as he faces numerous threats to rescue his beloved from the evil Count Dracula.",1987
Syphon Filter: Logan's Shadow,2007-10-02,"The final Syphon Filter title, Logan's Shadow is the sequel to Syphon Filter: Dark Mirror, and introduces underwater combat to the series.",2007
James Pond 2: Codename: RoboCod,1991-08-18,"A side-scrolling platform game released in 1991. It is the sequel to the original James Pond, and now parodies RoboCop as well as James Bond.",1991
Twisted Metal: Head-On,2005-03-24,Twisted Metal goes portable with Twisted Metal: Head-On for the PSP.,2005
Syphon Filter: Dark Mirror,2006-03-14,"Syphon Filter: Dark Mirror is a third person shooter for the PSP, it takes place after Syphon Filter: The Omega Strain. It is also the series' first appearance on the PSP.",2006
Secret Agent Clank,2008-06-17,"After being side-kick to Ratchet for so long, Clank takes matters into his own hands to save Ratchet and solve the crime of the century.",2008
Luxor: Pharaoh's Challenge,2007-04-25,"Luxor: Pharaoh's Challenge is a puzlle game that was released on the Wii, PSP, PS2, and DS",2007
Ghostbusters: The Video Game,2009-06-16,"With a script edited and approved by Dan Aykroyd and Harold Ramis, Ghostbusters: The Video Game is a sequel to the feature length films. Who ya gonna call? GHOSTBUSTERS!",2009
Crash Tag Team Racing,2005-10-19,The third racing game in the Crash Bandicoot franchise.  Play as eight characters from the Crash bandicoot series!,2005
Ben 10 Ultimate Alien: Cosmic Destruction,2010-10-05,Ben 10 Ultimate Alien: Cosmic Destruction is the latest Ben 10 video game set during the events of Ben 10: Ultimate Alien.,2010
Ben 10 Alien Force: The Game,2008-10-28,"Ben 10 Alien Force is based in the world of the popular cartoon network show ""Ben 10.""",2008
Ghost Rider,2007-02-13,Ghost Rider is a movie tie-in action game that continues the story of the movie of the same name.,2007
Phantasy Star II,1989-03-21,16-bit sci-fi RPG originally released on the Sega Genesis/Mega Drive in 1989.,1989
Shadow of Destiny,2001-02-22,Control Eike Kusch as he attempts to change the course of history and stop a mysterious figure from killing him.,2001
Justice League Heroes,2006-10-17,Justice League Heroes is an Action-RPG that allows you to play as members of the Justice League of America as they work together to take down the various villains in the game.,2006
Duel Masters: Birth of Super Dragon,2005-03-24,"Also known as ""Duel Masters: Jaafuuchouryuu Tensei"", this Japanese console adaptation of the Duel Masters manga, anime, and trading card game features a new story drawn by the original manga artist and online multiplayer support.",2005
Sakigake!! Kuromati Koukou: Kore wa Hyottoshite Game Nanoka!? Hen,2004-03-04,An adventure game by Hudson based on the Sakigake!! Kuromati Koukou series.,2004
NBA 2K6,2005-09-26,"NBA 2K6 is the seventh installment of the NBA 2K series of realistic basketball games, updating the roster to the 2005/2006 NBA season while adding new control mechanics.",2005
Hitman 2: Silent Assassin,2002-10-01,Agent 47 is forced out of retirement and takes up contracts again in order to find the whereabouts of his captured friend.,2002
Project Minerva Professional,2003-08-21,A tactical-action game developed by Flat-Out.,2003
Gekitou Pro Yakyuu: Mizushima Shinji Allstars vs Pro Yakyuu,2003-09-11,"An arcade sim baseball game, featuring the teams and players of the NPB and an all-star of cel-shaded manga characters from the many works of the legendary baseball manga creator, Mizushima Shinji.",2003
Tengai Makyou II: Manjimaru,1992-03-26,The second game in the Japanese-exclusive Tengai Makyou role-playing franchise.,1992
Teen Titans,2005-10-16,"Teen Titans game is the 2nd Teen Titans game made, and has the 5 main Teen Titans members from the TV Series which it is based on: Robin, Cyborg, Raven, Starfire, and Beast Boy.",2005
Showdown: Legends of Wrestling,2004-06-22,The third installment in the Legends of Wrestling series.,2004
Sakigake!! Kuromati Koukou,2003-02-20,"A party/board game developed by Hudson Soft and published by DigiCube, featuring a wide array of mini-games for up to four players. Based on the anime/manga series of the same name (Known as Cromartie High School in the west).",2003
Ys: The Ark of Napishtim,2003-09-27,"Starring the red-headed protagonist Adol Christin, Ys: The Ark of Napishtim is the sixth game in the long-running action RPG series.",2003
Dragon Ball Z: Sagas,2005-03-22,From the studio behind the Tak series of games comes a third-person action game adaptation of the Dragon Ball series released exclusively in North America. Up to two players can combo their way through the first two-thirds of the Dragon Ball Z storyline.,2005
Final Fight: Streetwise,2006-02-28,The Final Fight franchise makes a gritty return as a 3D beat 'em up for sixth-generation consoles.,2006
Appleseed EX,2007-02-15,Appleseed EX is a 3D Action-Adventure game created by DreamFactory.,2007
Spider-Man: Web of Shadows,2008-10-08,Spider-Man: Web Of Shadows sees Spider-Man facing off against nemesis Venom and his army of Symbiotes with the help of both Marvel heroes and villains.,2008
Disney's Treasure Planet,2002-10-29,A platformer based on the disney film of the same name.,2002
Everblue 2,2003-02-23,A scuba-diving exploration adventure game developed by Arika for the Sony PS2. It is the sequel to Everblue and the spiritual predecessor to the Endless Ocean games.,2003
Rygar: The Legendary Adventure,2002-11-21,A 3D action game for the PS2 that reimagines the 2D sidescroller Rygar.,2002
Champions: Return to Arms,2005-02-07,"Champions: Return to Arms is a direct follow up to Champions of Norrath, a popular Action RPG for the Playstation 2.",2005
Shining Force: Neo,2005-10-20,"In Shining Force: Neo, you play as a young fighter named Max who has finished his training that will make Him a Force. It is not a turn-based game at all, such as its predecessors for the previous gaming systems, opting for a more Diablo-style Action RPG game.",2005
ESPN NFL Football,2003-09-03,"Sega's fifth NFL game and the first to use the ESPN license. Though it is a follow-up to NFL 2K3, the game's official title does not include ""2K"".",2003
Devil May Cry 3: Special Edition,2006-01-24,"A re-release of Devil May Cry 3: Dante's Awakening, featuring a more accessible level of difficulty, a survival mode titled Bloody Palace, and the playable debut of Dante's twin brother, Vergil.",2006
Devil May Cry 3: Dante's Awakening,2005-02-17,"The third game in Capcom's popular action adventure series. This is a prequel to the original Devil May Cry and the first game of the franchise's storyline chronologically. The game saw a re-release in Devil May Cry 3: Special Edition, which added a new character, among other things.",2005
Death by Degrees,2005-01-27,A third-person action game featuring Nina Williams from the Tekken series.,2005
NBA Hoopz,2001-02-12,A sequel to NBA Showtime: NBA on NBC that introduced a 3-on-3 format to the ubiquitous NBA Jam formula of Midway basketball games.,2001
Crash of the Titans,2007-10-02,Join Crash on his latest quest to stop Dr. Cortex from his nefarious plans and rescue his sister Coco. Crash of the Titans features all new graphics and some serious platforming fun.,2007
Hunter: The Reckoning - Wayward,2003-09-09,"A sequel to the original Hunter: The Reckoning. This game picks up two years after the events of the previous game and brings similar gameplay, and two new characters, to the cursed town of Ashcroft.",2003
Summoner,2000-10-25,Summoner is an action role-playing game from Red Faction creators Volition.,2000
Vampire Princess Yui Senyasyo,2003-03-27,"Adventure game spin-off to the manga Vampire Princess Yui, itself a spin-off of the Vampire Princess Miyu franchise.",2003
Onimusha: Warlords,2001-01-25,"Killed in his attempt to unify Japan under his rule, Nobunaga Oda makes a pact with the demon king Fortinbras and returns with a vengeance. The Princess of Inabayama Castle is caught in the crossfire and kidnapped... but not before sending a plea for aid to her friend, the samurai Samanosuke Akechi. This man will fall and rise again as an Oni Musha - a demon warrior!",2001
beatmania,2006-03-28,"The first and only console version of Konami's ground-breaking music game franchise, beatmania IIDX, to be released in the United States.",2006
Tales of Rebirth,2004-12-16,Tales of Rebirth is the sixth main entry of Namco's Tales series of video games.,2004
Splashdown,2001-11-05,Splashdown is a racing game for the Xbox and Playstation 2,2001
Ys I & II: Eternal Story,2003-08-07,"An enhanced port of Ys I and II for the PlayStation 2, that uses the Complete editions of the games as a base, developed by  	
Michael Soft.",2003
Shanghai: The Four Elements,2000-09-28,"Success Corp. brings the mahjong solitaire series to the PlayStation 2, including four game modes based on the four classical elements (Earth, Fire, Water, and Air).",2000
Densha de Go! Final,2004-05-27,"A home release of the Densha de Go! electric train simulation series intended to be the ultimate entry, featuring a grand visual and audio upgrade, revamped penalty and scoring mechanics, and a two-player mode where one player acts as the train conductor.",2004
Densha de Go! Professional 2,2002-10-25,Another home entry in Taito's train simulation franchise brings another graphics upgrade and new train routes.,2002
Crash: Mind Over Mutant,2008-10-07,This sequel to Crash of the Titans takes jacking enemies to the next level by allowing you to level up the monster under your control.,2008
Deus Ex: The Conspiracy,2002-03-26,Deus Ex: The Conspiracy was the 2002 PlayStation 2 port of the original PC Game from 2000.,2002
Sengoku Basara X,2008-04-09,"A fighting game spin-off of Capcom's Sengoku Basara series of games, from the studio behind the Guilty Gear series.",2008
Naruto: Uzumaki Chronicles,2005-08-18,Naruto: Uzumaki Chronicles lets the player take control of Naruto and various other characters in the franchise to do missions to grow stronger and become hokkage.,2005
12Riven: The Psi-Climinal of Integral,2008-03-13,A visual novel about a boy who must prevent a girl from being killed by a psychic.,2008
Fate/Unlimited Codes,2008-06-11,A traditional fighting game adaptation of Type-Moon's 2004 visual novel Fate/stay night.,2008
London Racer II,2002-06-14,London Racer 2 for playstation 2,2002
Autobahn Raser: Das Spiel zum Film,2004-04-29,A game based on the Autobahn Raser film which was in turn based on the Autobahn Raser games.,2004
USA Racer,2002-05-10,A street racing game featuring 11 tracks across the United States of America.,2002
Autobahn Raser IV,2002-12-31,The fourth iteraction of Davilex's German-themed racing title and one of the few to not be localized in other parts of Europe.,2002
Capcom Fighting Evolution,2004-10-24,"The last original sprite-based fighting game made by Capcom, Capcom Fighting Evolution brings fighters from multiple Street Fighter series (as well as Darkstalkers and Red Earth) together for a crossover bash.",2004
Soulcalibur III,2005-10-25,"The tale of Soul Calibur continues in the series's fourth entry, adding a variety of new game modes and features (including an in-depth character creation system).",2005
ExZeus,2003-05-01,Arcade flight shooter.,2003
NiGHTS into Dreams...,1995-02-11,"""NiGHTS into Dreams..."" is a 3D flying game made by Sonic Team for the Sega Saturn. You play as Nights in order to stop the evil Wizeman and his minions.",1995
Madden NFL 2003,2001-08-12,A football game from EA sports. With commentary from John Madden &amp; Al Michaels and  St. Louis Rams running back Marshall Faulk on the cover.,2001
The Powerpuff Girls: Relish Rampage,2002-11-24,,2002
Wrestle Kingdom,2005-12-22,A Japanese wrestling game that was created by the makers of the Gamecube WWE Day of Reckoning series.  This game features freelance wrestlers and also includes top stars from the biggest promotions in Japan.,2005
Clannad,2004-04-28,An acclaimed visual novel developed by Key revolving around the themes of family that was also adapted into an equally acclaimed anime series.,2004
The King of Fighters: Neowave,2004-07-09,"The first King of Fighters game to be built on arcade hardware other than the Neo Geo is a remake of King of Fighters 2002, complete with a new button and three gameplay styles for a variety of new techniques and strategies.",2004
Disney's Donald Duck: Goin' Quackers,2000-10-13,An action platform game starring Donald Duck.,2000
Yakuza,2005-12-08,"Yakuza, known in Japan as Ryu ga Gotoku (Like a Dragon), is an open-world action-adventure game with RPG elements, developed and published by Sega, in which you play the role of a Yakuza gangster known as Kazuma Kiryu. It was released in 2005.",2005
Yakuza 2,2006-12-07,"Yakuza 2 is a free-roaming action-adventure brawler which is a continuation of the original Yakuza game on the PlayStation 2. The game is set 1 year after the first game in Osaka,  Japan and follows the exploits of Kiryu Kazuma as he tries to settle a gang war.",2006
World Heroes 2 JET,1994-06-10,"A new heavily-publicized martial arts tournament, known as the World Heroes Battle Fest, is taking place in modern times. Who among history's greatest warriors will prevail in this third entry to the World Heroes series? Athlete admitted!",1994
World Heroes Anthology,2007-10-18,This compilation includes all of the World Heroes games in one disc.,2007
Wild Arms 3,2002-03-14,Traditional role playing game with an Old West theme.,2002
Viewtiful Joe,2003-06-26,"Take the role of Viewtiful Joe, and save your girlfriend Silvia from the horrible dangers of Movieland.",2003
Way of the Samurai 2,2003-10-09,"Way of the Samurai 2 is an open-ended Samurai game, where your choices dictate the storyline.",2003
Devil May Cry,2001-08-23,"Play as Dante, son of the legendary dark knight Sparda, as he takes on the emperor of the demon world, Mundus. With help from the lovely Trish, the Force Edge and his guns, Ebony and Ivory.",2001
Castlevania: Lament of Innocence,2003-10-21,The origins of Dracula and the Belmont clan are revealed for the first time in this 3-D action title of Castlevania for the PlayStation 2.,2003
Dark Cloud 2,2002-11-28,"Control Max, a young inventor, and Monica, a warrior princess from the future, as they fight their way through dungeons and train rides to save the world.",2002
Contra: Shattered Soldier,2002-10-22,Be Bill Rizer and kick ass through a variety of intense levels by yourself or with a friend.,2002
Breath of Fire: Dragon Quarter,2002-11-14,"The fifth game in the Breath of Fire series. It is a... major departure from the series' standard turn-based JRPG roots, to say the least.",2002
Art of Fighting Anthology,2006-05-11,Art of Fighting Anthology is a PlayStation 2 compilation of all three Art of Fighting games.,2006
Black Belt,1986-07-20,"Beat up a variety of henchmen, big and small, to rescue your girlfriend in this 1986 brawler by Sega for the Sega Master System, based on the post-apocalyptic martial arts manga and anime series Fist of the North Star.",1986
Blood Will Tell: Tezuka Osamu's Dororo,2004-09-09,"Blood Will Tell is an action game that borrows themes from a Japanese manga called Dororo, created by Osamu Tezuka. Its main protagonist is a young samurai, Hyakkimaru who is on a quest to recover his 48 body parts from the fiends that haunt feudal Japan.",2004
Metal Slug 6,2006-02-24,Sixth installment of the Metal Slug franchise and the first to leave the Neo-Geo hardware. Introduces two new characters from the Ikari Warriors/King of Fighters franchises.,2006
NeoGeo Battle Coliseum,2005-12-22,"Various SNK series, from Fatal Fury to Metal Slug, collide in this 2-on-2 tag-team crossover fighting game from SNK Playmore.",2005
The King of Fighters XI,2005-10-26,"Continuing the tag-team mechanics of King of Fighters 2003, The King of Fighters XI is the eleventh main entry in the long-running fighting game series and the second in the Ash Saga.",2005
Arcana Heart,2006-12-22,"Made by the team that developed Samurai Shodown V, Arcana Heart features a hand-drawn anime aesthetic, an all-girl fighter roster, and a unique assist character system known as ""Arcana"".",2006
All-Star Fighters,2005-12-15,"Known in Japan as ""The All*Star Kakutou Matsuri"". All-Star Fighters is the 91st entry in the Simple 2000 budget game series for the PS2, bringing together characters and locales from many different Simple 2000 games in a bizarre fighting tournament.",2005
Crisis Zone,2004-10-19,Time Crisis series spin off.,2004
Technic Beat,2004-11-02,A rhythm action game for the PS2. You can play a platypus on it.,2004
Sly 3: Honor Among Thieves,2005-09-26,"The size of the Cooper Gang expands in Sly 3: Honor Among Thieves as they attempt their biggest heist yet: gaining access to the heavily guarded Cooper Vault, which houses all the treasure the Cooper family line has collected over throughout their history.",2005
Sly Cooper and the Thievius Raccoonus,2002-09-23,"Sly Cooper and the Thievius Raccoonus is a platformer that sees Sly Cooper and his gang on a mission to defeat the five criminals that killed Sly's family and reclaim the pages of the Thievius Raccoonus, a book of family thieving techniques compiled by generations of the Cooper family.",2002
God of War II,2007-03-13,"God of War II continues the story of Kratos as he wields his newly-bestowed god-like powers, much to the dismay and fear of the other gods.",2007
Prince of Persia: Warrior Within,2004-11-30,"Prince of Persia: Warrior Within is the the second game in the Sands of Time series. Adopting a much darker tone, Warrior Within follows the Prince to the Island of Time as he attempts to change the past in order to end the Dahaka's relentless pursuit.",2004
Zone of the Enders: The 2nd Runner,2003-02-13,Zone of the Enders: The 2nd Runner is a sci-fi action-adventure game produced by Hideo Kojima. The game features fast-paced mech battles and a very elaborate story.,2003
Zone of the Enders,2001-03-02,"Zone of the Enders is a fast-paced action game in which you play as Leo Stenbuck, the reluctant pilot of the orbital frame Jehuty.  With Jehuty you must protect the Jupiter space colony known as Antilla from an invading force known as Bahram.",2001
Shin Megami Tensei: Persona 3 FES,2007-04-19,This expanded edition of Persona 3 adds additional content and a continuation of the original game's storyline.,2007
Shin Megami Tensei: Persona 3,2006-07-13,"Persona 3 is the fourth main entry in the Persona series. Introducing the ""Social Link"" system and removing several Shin Megami Tensei staples including the post-apocalyptic setting, Persona 3 greatly expanded the popularity of the series, particularly in the west. It also established the balance of traditional role-playing combat and social simulation that would define the series going forward.",2006
Red Dead Revolver,2004-05-28,A third-person shooter that tells the story of bounty hunter Red Harlow and his bloody quest for vengeance across America's Wild West.,2004
God Hand,2006-09-11,"God Hand is a 3D third-person beat-'em-up game featuring Resident Evil-style ""tank controls"", irreverent humor, and over-the-top action.",2006
EyeToy: Play 3,2005-11-05,,2005
Silent Hill 2: Restless Dreams,2001-11-23,Silent Hill 2: Restless Dreams is an updated version of the original Silent Hill 2 released a month after the original version.,2001
007: Agent Under Fire,2001-11-13,Agent Under Fire is a game released by EA under the James Bond license. It was the first James Bond game released for the then new generation of consoles.,2001
VM Japan: Vantage Master - Mystic Far East,2002-06-27,A hexagonal turn-based tactical RPG set in feudal Japan by Nihon Falcom that supports both single-player and multiplayer.,2002
Shinseiki Evangelion: Koutetsu no Girlfriend,1998-03-26,"Shinseiki Evangelion: Koutetsu no Girlfriend, also known as Neon Genesis Evangelion: Girlfriend of Steel, is a Japanese-style text-heavy adventure game, which follows the characters from the Evangelion anime in a side story that takes place roughly around the time of the early 'teens episodes.",1998
Ribbit King,2003-07-11,"Have you Frolfed today? Send frogs careening around bizarre courses littered with power-ups, danger, and distractions to rack up points or go for the elusive and high-scoring Frog-in-One!",2003
Sonic the Hedgehog 2,1992-10-16,"Run, jump and spin through levels as Sonic and Tails, in order to thwart the plans of the nefarious Dr. Robotnik and free the kidnapped animals! Released by Sega in 1992, Sonic the Hedgehog 2 is often considered one of the greatest platformers of all time.",1992
Asterix and Obelix: Kick Buttix,2004-03-19,"Asterix and Obelix: Kick Buttix (also known as Astérix &amp; Obélix XXL in Europe) is a Beat-Em-Up and platforming title for PS2, PC and Gamecube, released November 21, 2003 in France. It was published by Atari and developed by Etranges Libellules",2004
10 Pin: Champions Alley,2005-05-04,"A bowling game released for PlayStation 2 (and later as a PS2 Classic, for PlayStation 3) only in Europe.",2005
Sanyo Pachinko Paradise 7: Edokko Gen-san,2002-06-27,A collection of two digital recreations of real world pachinko machines.,2002
Miami Vice,2004-12-03,3rd person shooter for PS2 and Xbox (PAL only). Based on 80s hit TV-series.,2004
Gungriffon Blaze,2000-10-24,"Gungriffon Blaze was a Playstation 2 launch title. Set in a devastated post World War III world, the player plays as a mech equipped UN soldier who must maintain peace.",2000
Smarties Meltdown,2006-03-17,Smarties Meltdown is a third person game featuring Nestlé Smarties.,2006
MX Unleashed,2004-02-17,"MX Unleashed is a dirt-bike game that features races, a free-roam freestyle mode, and the ability to drive other vehicles.",2004
SEGA AGES 2500 Vol.1: Phantasy Star - Generation:1,2003-08-27,The first SEGA AGES 2500 is a complete remake of the original Phantasy Star on the Sega Master System.,2003
SEGA AGES 2500 Vol.17: Phantasy Star - Generation:2,2005-03-24,Phantasy Star - Generation:2 is a graphical upgrade of the 16-bit game Phantasy Star II.  It includes enhanced cutscenes and character designs.,2005
Rogue Hearts Dungeon,2007-04-26,Japanese reimagining of the genre defining computer RPG Rogue.,2007
Ultimate Board Game Collection,2006-07-06,"A collection of digitized board games for the PS2, PSP, and Wii.",2006
Shinseiki Evangelion: Koutetsu no Girlfriend 2,2005-01-20,Another visual novel set in the alternate universe seen in episode 26 of Neon Genesis Evangelion.,2005
Bravo Music: Christmas Edition,2001-11-22,Christmas themed edition of the rhythm game Mad Maestro. Japan only.,2001
Unison: Rebels of Rhythm & Dance,2001-03-22,A rhythm game exclusive to the PlayStation 2.,2001
Soukou Kihei Votoms,2007-11-15,"Votoms is an action game based on the '80s anime series of the same name. The player assumes the role of Chirico Cuvie and fights using mecha known as ""Armored Troopers.""",2007
Driven to Destruction,2004-08-25,PS2 racing game Driven to Destruction.,2004
Front Mission 5: Scars of the War,2005-12-29,"The 5th game, taking place between 2070 to 2121, with a narative that spans across every game in the series.",2005
Yoake no Mariko,2001-12-06,"This PlayStation 2 release is a voice acting simulator that allows you to play with a microphone or with a controller, which turns the gameplay into a more rhythm-game-like experience.",2001
Crash Twinsanity,2004-09-28,"Crash Twinsanity is a Title in the Crash Bandicoot series in which you play as Crash and his Arch-Enemy Neo Cortex. The game features free-roaming levels and is less about collecting crystals, as in the previous games, and more about completing levels.",2004
Crash Bandicoot: The Wrath of Cortex,2001-01-11,Crash Bandicoot: The Wrath of Cortex brings the fight to the sixth generation consoles while retaining a lot of the original concepts and ideas of the previously Playstation-focused franchise.,2001
"True Love Story: Summer Days, and yet...",2003-07-24,The fourth and final game in the visual novel series.,2003
True Love Story 3,2001-04-05,The third game in the Japanese exclusive visual novel series.,2001
Grandia II,2000-08-03,"Born of different worlds, woven together by fate, each shall rise to face their destiny.",2000
Grand Tour Racing: GT-R 400,2004-06-25,A racing game released on the PS2,2004
Fu-un Bakumatsuden,2005-01-20,Sequel to Fu-un Shinsengumi released on the PS2.,2005
Sekirei: Mirai Kara no Okurimono,2009-10-29,An adventure game by Alchemist based on the 2008 anime/manga Sekirei.,2009
Space Rebellion,2006-12-08,,2006
Zero no Tsukaima: Muma ga Tsumugu Yokaze no Gensoukyoku,2007-11-29,The second visual novel based on the Zero no Tsukaima anime.,2007
Doomsday Racers,2005-07-15,,2005
The Mouse Police,2004-03-18,,2004
Monster Eggs,2007-04-20,Released on the PC and PS2 in Europe.,2007
G-Force,2006-10-06,,2006
Inquisition,2002-11-29,,2002
Obliterate,2006-10-06,,2006
England International Football,2004-04-30,"The official video game of the England International football team, fully endorsed by the Football Association.",2004
Eagle Eye Golf,2006-10-10,A Playstation2 golf title.,2006
Skateboard Madness Xtreme Edition,2007-04-20,,2007
Aria the Origination: Aoi Wakusei no El Cielo,2008-06-26,The second Ps2 game based on the ARIA anime. This one beeing based on the final part of the anime going by the same name.,2008
UEFA Champions League 2004-2005,2005-02-04,,2005
Furry Tales,2004-10-22,A real time strategy which pits sheep vs. wolves. Time to get wooly or wolfy!,2004
A Visual Mix: Ayumi Hamasaki Dome Tour 2001 A,2001-12-13,A Visual Mix: Ayumi Hamasaki Dome Tour 2001 A is a concert simulator where you man cameras for a concert for Japanese performer Ayumi Hamasaki.,2001
Manchester United Manager 2005,2004-10-22,,2004
Drag Racer USA,2006-10-27,A street racing game for the PlayStation 2.,2006
Code Age Commanders,2005-10-13,An action RPG from Square-Enix released only in Japan.,2005
Seven: Molmorth no Kiheitai,2000-12-21,,2000
Tetsujin 28-Go,2004-07-01,A game set in the Tetsujin/Gigantor universe where you control gigantic robots with a remote control.,2004
D-Unit Drift Racing,2006-10-13,,2006
Gun,2005-11-08,"GUN is a third person action/adventure game setting you loose into 1800s America, where law is lost and crime runs rampant.",2005
Ridge Racer V,2000-03-04,"Launching alongside the Playstation 2, this is the 5th console entry of Namco's flagship racer. An arcade port, titled Ridge Racer V: Arcade Battle, was released in 2001 and is to date the last Ridge Racer to be released for arcades.",2000
Sonic R,1997-10-31,Sonic R is a 3D racing game. It features characters from the Sonic series and puts them in races against each other.,1997
Sphinx and the Cursed Mummy,2003-11-10,"Starring the demi-god Sphinx, and the undead corpse of Tutankhamen, this action-adventure game is filled with Ancient Egyptian mythology.",2003
Shadow of the Colossus,2005-10-18,"Explore the Forbidden Land as Wander, a young warrior who must slay sixteen Colossi in order to restore the life of a sacrificed maiden.",2005
Colin McRae Rally 2005,2004-09-28,,2004
Tenshou Gakuen Gensouroku,2004-05-27,A hybrid adventure game with strategy battle segements that is very similar to the Tokyo Majin Gakuen franchise in terms of setting and gameplay but is otherwise completely unrelated.,2004
Tenshou Gakuen Gekkouroku,2006-11-22,"The sequel to Tenshou Gakuen Gensouroku, taking place 5 years after the previous game.",2006
Tokyo Majin Gakuen Gehouchou: Keppuuroku,2004-08-12,A remake of Tokyo Majin Gakuen Gehoujou released for the PlayStation 2.,2004
Activision Anthology,2002-11-19,Activision Anthology is a compilation that includes over 45 of the company's biggest games for the Atari 2600.,2002
X2: Wolverine's Revenge,2003-04-14,Take control of Wolverine as he uncovers his own dark past and tries to find the cure to the deadly Shiva virus.,2003
The Suiri: Aratanaru 20 no Jikenbo,2002-12-19,,2002
Gadget Racers,2002-12-12,"Known in Japan as ""Choro Q HG 3"". A version for North America was planned, but was cancelled.",2002
