Title,Release Date,Description,Release Year
Tiger Woods PGA Tour 2001,2000-11-07,"Tiger Woods PGA Tour 2001 (also known as Tiger Woods PGA Tour Golf for the PlayStation version) is a sports video game developed by Headgate Studios for the Microsoft Windows version, Stormfront Studios for the PlayStation version, and EA Redwood Shores for the PlayStation 2 version, and published by EA Sports for Windows and PlayStation in 2000 and PlayStation 2 in 2001. The latter console version was ported to Japan and published by Electronic Arts Square on June 21, 2001.",2000
Street Golfer,2002-06-27,Tee off on Japanese streets in this over-the-top PS2 golf game.,2002
K-1 World Max 2005,2005-07-16,"K-1 World Max 2005 is a Kickboxing game, developed and published by D3, which was released in Japan in 2005.",2005
Yu-Gi-Oh! Capsule Monster Coliseum,2004-07-29,"A turn-based strategy game set in the Yu-Gi-Oh! universe, based on the in-universe monster figurine board game Capsule Monster Chess.",2004
Wild Arms Alter Code: F,2003-11-27,A remake of the classic Playstation title. Return to the legendary realm of Filgaia where an evil force from ancient prophecies threatens to destroy all life on the planet.,2003
Gokuraku Jongg,2003-03-20,A sequel to Enterbrain's falling-block puzzle game about forming mahjong hands.,2003
Tony Hawk's Pro Skater 4,2002-10-23,"The fourth installment of Tony Hawk's skateboarding series features a new free-roaming Career mode and a new assortment of tricks, challenges, and mini-games.",2002
Alpine Racer 3,2002-03-28,Alpine Racer 3 is a Skiing game by Namco.,2002
Super Trucks Racing,2002-06-28,Race trucks at speeds over 150 mph.  Race them around 15 tracks and in 6 different modes.,2002
MXrider,2001-10-30,". It was the first title released under Infogrames' newly reinvented Atari brand, which Infogrames used alongside their own branding until 2003. MX Rider features over 10 real Grand Prix riders and includes all the tracks from the 2000 world motocross GP championship.",2001
Siren,2003-11-06,"A stealth-based horror game that takes place in the small village of Hanuda, Japan. The main enemies are zombie-like creatures known as Shibitos.",2003
Mortal Kombat: Deception,2004-10-04,"The sixth installment in the violent fighting game franchise, introducing a manual ""Combo Breaker"" system and online multiplayer while adding a more in-depth Konquest Mode.",2004
Yanya Caballista: City Skater,2001-07-05,"Cell-shaded action skateboarding game, in which performing tricks kills invasive aliens, called ""Gawoo.""  Includes a fingerboard-style controller that attaches to analog sticks.",2001
Return to Castle Wolfenstein,2001-11-19,"B.J. Blazkowicz returns to fight elite Nazi troopers, supernatural creatures, and mechanized super soldiers in this reboot of the original 1991 classic Wolfenstein 3D.",2001
Neo Contra,2004-10-26,"Nearly two thousand years since his last act of combat, Bill Rizer returns to deal with the new ""Neo Contra"" threat in this 3D top-down shooter for the PlayStation 2.",2004
Rolling,2003-10-24,,2003
BCV: Battle Construction Vehicles,2000-06-01,Fighting game but with construction vehicles.,2000
Sega Rally 2006,2006-01-12,"The third entry in the Sega Rally series of rally racing games, only released in Japan and Korea.",2006
Tony Hawk's Pro Skater 3,2001-10-28,"Tony Hawk's Pro Skater 3 brings new levels, new skaters, new tricks (such as hidden trick variations and the Revert), and online multiplayer.",2001
